ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
41,Central Europe and the Baltics,CEB,Population male (% of total population),48.2820526,48.2966034,48.3158799,48.3373575,48.3577514,48.3744591,48.3866635,48.3948297
42,Chad,TCD,Population male (% of total population),49.8814103,49.8871611,49.8916209,49.8952795,49.8987526,49.9025475,49.9066453,49.9109162
43,Channel Islands,CHI,Population male (% of total population),49.2630762,49.2993354,49.3344688,49.3618091,49.3854619,49.408962,49.4326692,49.4527646
44,Chile,CHL,Population male (% of total population),49.2131033,49.2123577,49.2108812,49.2104976,49.2135777,49.2215748,49.2351175,49.2530468
45,China,CHN,Population male (% of total population),51.3887032,51.3869382,51.3822669,51.3751833,51.3664174,51.3565128,51.3456204,51.3336518
46,Colombia,COL,Population male (% of total population),49.0011841,48.9986334,48.9954677,48.9940616,48.9975687,49.0076896,49.025699,49.0495962
47,Comoros,COM,Population male (% of total population),50.4029312,50.4102873,50.4169976,50.4233922,50.4290286,50.4336697,50.4368418,50.4394943
48,Congo Dem. Rep.,COD,Population male (% of total population),49.782681,49.8008041,49.8184524,49.835356,49.8512115,49.8658186,49.8791432,49.8912656
49,Congo Rep.,COG,Population male (% of total population),49.7552728,49.7864997,49.8155624,49.8421829,49.8661274,49.8872448,49.9055811,49.9210578
50,Costa Rica,CRI,Population male (% of total population),50.0893417,50.0792992,50.0689739,50.0580649,50.0463153,50.0335719,50.019819,50.0052021
51,Cote d'Ivoire,CIV,Population male (% of total population),50.7794401,50.7313783,50.6883822,50.649349,50.6128886,50.5779908,50.5443416,50.5120394
52,Croatia,HRV,Population male (% of total population),48.1637591,48.1489871,48.1277478,48.1055831,48.0896803,48.0856506,48.0951079,48.1169165
53,Cuba,CUB,Population male (% of total population),49.7390082,49.7247806,49.7148025,49.7077478,49.7013905,49.6941353,49.6857198,49.6765969
54,Curacao,CUW,Population male (% of total population),45.9487358,45.8587477,45.8129861,45.7975636,45.7994597,45.8123241,45.8365155,45.8675441
55,Cyprus,CYP,Population male (% of total population),49.9347035,49.9057197,49.9311041,49.9888099,50.0455178,50.0776495,50.0799444,50.0600584
56,Czech Republic,CZE,Population male (% of total population),49.08185,49.1159808,49.1296912,49.1304846,49.1294486,49.1348776,49.1487322,49.1683044
57,Denmark,DNK,Population male (% of total population),49.6194046,49.6435595,49.6691178,49.6935875,49.7135959,49.7268354,49.7326024,49.7315639
58,Djibouti,DJI,Population male (% of total population),53.2129484,53.384852,53.3567321,53.1982484,53.008934,52.8575555,52.7572954,52.6847792
59,Dominica,DMA,Population male (% of total population),,,,,,,,
60,Dominican Republic,DOM,Population male (% of total population),50.1894304,50.1621945,50.1364627,50.1119999,50.0878981,50.0635062,50.0391528,50.0153951
61,Early-demographic dividend,EAR,Population male (% of total population),50.9831007,50.9756339,50.9666969,50.9571486,50.9482978,50.9410103,50.9355613,50.9315689
62,East Asia & Pacific,EAS,Population male (% of total population),50.757173,50.7554776,50.7497233,50.7410736,50.7309942,50.7206055,50.7103953,50.6999243
63,East Asia & Pacific (excluding high income),EAP,Population male (% of total population),50.9219382,50.9210518,50.915737,50.9071402,50.8969728,50.8864234,50.8758761,50.8649547
64,East Asia & Pacific (IDA & IBRD countries),TEA,Population male (% of total population),50.94801,50.9469585,50.941418,50.9325574,50.9221168,50.9113082,50.9005178,50.8893649
